# color,number_of_stars,G_B,G_V,G_J,G_H,G_K,G_B_std,G_V_std,G_J_std,G_H_std,G_K_std,G_B_std_err,G_V_std_err,G_J_std_err,G_H_std_err,G_K_std_err
2.500000000000000000e-01,4.820000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.821182654606356144e-01,1.515269665302577395e-01,1.770248947301840958e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.257708136858144782e-02,1.788145635816994206e-01,1.715676102926665392e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.394820433171072124e-03,8.144780186865199431e-03,7.814690509708201865e-03
5.000000000000000000e-01,1.804000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.166080895654377891e-01,3.420121928804993883e-01,3.842871286916627049e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.672140687452195185e-02,7.782362066187126226e-02,7.111702421883817071e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.570894172351917440e-03,1.832285587127553510e-03,1.674384940810399970e-03
7.500000000000000000e-01,3.071000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,4.999247990070667114e-01,5.864484000384555529e-01,6.386268428465863289e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.575588989715234534e-02,8.600824764690018220e-02,7.248360316178260876e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.367025122714056158e-03,1.552030283764699054e-03,1.307976272756020868e-03
1.000000000000000000e+00,8.556000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.856172285998408666e-01,8.461270447700254271e-01,9.035061936113197856e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.616704116322571549e-02,9.236798600702858519e-02,6.896196870795566480e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.234395019182459263e-04,9.985874103711602293e-04,7.455456887512334737e-04
1.250000000000000000e+00,2.498600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.416858225533666582e-01,1.075473067663710758e+00,1.140041182270750797e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.348852121942860138e-02,9.183738542813210670e-02,6.940275232310220976e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.649124115669278330e-04,5.809933255277757681e-04,4.390645017277234642e-04
1.500000000000000000e+00,3.307700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.920631246165719785e-01,1.295169120926621620e+00,1.372821327276016801e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.584257936769406294e-02,1.008074811996259312e-01,7.073934022036207359e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.170134264936990677e-04,5.542806363091827386e-04,3.889537367944825635e-04
1.750000000000000000e+00,2.204800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.147414957209664577e+00,1.521701375592948713e+00,1.614931240483188590e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.251105738038666038e-02,1.205526047954558061e-01,7.180561779912500442e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.230301227218578526e-04,8.118802907129687389e-04,4.835861153932979320e-04
2.000000000000000000e+00,1.270700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.284955533303011377e+00,1.718593839489429564e+00,1.861504522626664659e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.875621030331257044e-01,2.625472611385462618e-01,7.073449500144313173e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.663886042359473839e-03,2.329088425666577065e-03,6.274942381375464995e-04
2.250000000000000000e+00,5.419000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.398937258867347211e+00,1.839241922638648941e+00,2.105301348567778952e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.147712881316317435e-01,5.121692730620558409e-01,7.066922980691889289e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.275978725842545514e-03,6.957511686160406696e-03,9.599990044190330734e-04
2.500000000000000000e+00,1.799000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.565832680367707841e+00,2.053724849005418740e+00,2.351884380985194145e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.376844555168201922e-01,5.684574106909644486e-01,7.141304859881698885e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.961510784590253645e-03,1.340239306801889116e-02,1.683689454137842064e-03
2.750000000000000000e+00,4.780000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.752303325980278270e+00,2.313186180641461753e+00,2.590144334976643314e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.878442891597327025e-01,5.246225597116985773e-01,5.666194890115923422e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.316569133983471265e-02,2.399567735472887819e-02,2.591657218990982715e-03
